Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Aditya Birla SL Low Duration Fund(G),Kaustubh Gupta,DT-LOWD,3,11919.0,1.19,Open Ended,14-May-98,NIFTY Low Duration Debt Index,649.72,649.72,604.51,0.95,2.23,3.82,7.51,7.14,6.54,6.03,6.75,0,-,-,-,-,-,-,1.19,0.94,7.48,0.07,1.11,0.86,0.66,0.62,Debt : Low Duration,Nil
Aditya Birla SL Medium Term Plan-Reg(G),Sunaina da Cunha,DT-MD,2,2206.1,1.56,Open Ended,25-Mar-09,CRISIL Medium Duration Debt Index,39.41,39.41,34.45,1.52,5.16,7.06,14.56,10.36,14.27,13.72,8.66,0,1,-,-,-,-,-,4.90,3.63,7.89,0.55,0.32,2.25,0.85,9.41,Debt : Medium Duration,Nil upto 15% of units For remaining units 2% on or before 1Y 1 % after 1Y but on or before 2Y Nil after 2Y
Aditya Birla SL Mfg. Equity Fund-Reg(G),Harish krishnan,EQ-CONS,4,1086.5,2.28,Open Ended,03-Feb-15,BSE India Manufacturing Index - TRI,29.24,35.02,26.85,-0.37,-1.11,-10.46,0.62,23.18,15.18,20.48,11.54,39,65,58701,38.79,27.52,32.09,Automobile and Ancillaries,-,-,-,1.77,0.19,0.34,0.98,15.98,Equity : Thematic - Consumption,1% on or before 90D Nil after 90D
Aditya Birla SL Midcap Fund(G),Vishal Gajwani,EQ-MID,2,5502.1,1.92,Open Ended,03-Oct-02,Nifty Midcap 150 - TRI,724.97,842.23,655.82,2.28,2.24,-7.33,5.97,26.04,16.51,27.49,13.43,51,73,49465,14.58,69.43,12.19,Financials,-,-,-,-0.26,0.20,0.38,0.91,16.43,Equity : Mid Cap,1% on or before 90D Nil after 90D
Aditya Birla SL MNC Fund-Reg(G),Chanchal Khandelwal,EQ-MNC,Unrated,3371.4,2.04,Open Ended,27-Dec-99,NIFTY MNC - TRI,1230.11,1477.27,1145.73,1.92,-1.28,-11.10,1.09,17.27,9.18,12.00,7.94,15,67,40757,20.4,38.51,39.97,Automobile and Ancillaries,-,-,-,-0.34,0.11,0.21,0.93,14.34,Equity : Thematic - MNC,1% on or before 90D Nil after 90D
Aditya Birla SL Money Manager Fund(G),Kaustubh Gupta,DT-MM,5,25581.0,0.35,Open Ended,13-Oct-05,CRISIL Money Market Index,366.26,366.26,339.24,0.89,2.29,4.11,7.99,7.78,7.20,6.21,6.92,0,-,-,-,-,-,-,0.76,0.75,7.35,0.14,1.60,0.98,0.59,0.55,Debt : Money Market,Nil
Aditya Birla SL Multi Asset Allocation Fund-Reg(G),Dhaval Gala,HY-MULTI,Unrated,3821.1,1.84,Open Ended,31-Jan-23,BSE 200,14.16,14.45,12.45,2.42,4.48,1.49,11.37,18.01,-,-,-,0,56,205103,48.95,9.62,6.85,Financials,1.70,1.54,7.35,0.30,0.41,0.94,0.64,8.42,Hybrid : Multi Asset Allocation,1% on or before 365D Nil after 365D
Aditya Birla SL Multi-Cap Fund-Reg(G),Abhinav Khandelwal,EQ-MLC,Unrated,5893.8,1.86,Open Ended,07-May-21,Nifty500 Multicap 50:25:25 - TRI,18.19,20.72,16.51,2.29,2.52,-5.92,5.42,20.89,15.18,-,-,52,82,92237,46.74,27.7,23.57,Financials,-,-,-,-0.07,0.19,0.35,0.91,14.66,Equity : Multi Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Multi-Index FoF-Reg(G),Vinod Narayan Bhat,FOF-DOM,Unrated,18.3,0.62,Open Ended,17-Oct-22,NIFTY 500 - TRI,15.10,15.73,13.62,2.31,2.53,0.06,8.13,21.35,-,-,-,-,-,-,-,-,-,-,-,-,-,0.43,0.42,0.96,0.63,8.71,FoFs : Domestic,0.50% on or before 15D Nil after 15D
Aditya Birla SL NASDAQ 100 FOF-Reg(G),Dhaval Joshi,FOF-OVR,Unrated,363.1,0.62,Open Ended,01-Nov-21,Nasdaq-100 - TRI,13.26,15.64,11.98,-1.29,-11.98,-5.43,10.58,23.31,16.88,-,-,-,-,-,-,-,-,-,-,-,-,0.46,0.16,0.29,0.73,20.38,FoFs : Overseas,Nil
Aditya Birla SL Nifty 200 Momentum 30 ETF,Priya Sridhar,EQ-ETF,Unrated,43.1,0.29,Open Ended,12-Aug-22,Nifty200 Momentum 30 - TRI,29.55,38.55,26.31,3.95,0.30,-15.53,-9.71,23.06,-,-,-,-,30,162593,74.6,25.37,-,Technology,-,-,-,-0.02,0.20,0.36,1.00,18.62,Equity : ETFs,null
Aditya Birla SL Nifty 200 Quality 30 ETF,Priya Sridhar,EQ-ETF,Unrated,28.7,0.29,Open Ended,12-Aug-22,NIFTY200 Quality 30 - TRI,20.22,24.00,18.61,3.18,-1.16,-8.02,6.95,17.18,-,-,-,-,30,173550,66.38,32.11,1.46,FMCG,-,-,-,-0.02,0.20,0.38,1.00,12.95,Equity : ETFs,null
Aditya Birla SL Nifty 50 Equal Weight Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,360.7,1.02,Open Ended,08-Jun-21,NIFTY50 Equal Weight - TRI,16.89,18.92,15.47,3.32,4.15,-2.02,6.16,20.20,15.58,-,-,45,50,276397,95.8,4.12,-,Financials,-,-,-,-0.10,0.22,0.44,1.00,13.91,Equity : Index Funds,Nil
Aditya Birla SL Nifty 50 ETF,Priya Sridhar,EQ-ETF,Unrated,3062.3,0.04,Open Ended,21-Jul-11,NIFTY 50 - TRI,28.04,30.07,25.00,3.48,4.81,0.28,8.91,17.10,13.83,21.07,12.77,1,50,541619,99.14,0.86,-,Financials,-,-,-,-,0.18,0.37,1.00,13.01,Equity : ETFs,Nil
Aditya Birla SL Nifty 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,3,994.7,0.47,Open Ended,18-Sep-02,NIFTY 50 - TRI,245.04,263.52,219.44,3.44,4.69,0.05,8.43,16.55,13.22,20.32,11.80,12,50,541626,99.11,0.86,-,Financials,-,-,-,-0.05,0.17,0.34,1.00,13.02,Equity : Index Funds,Nil
Aditya Birla SL Nifty Bank ETF,Priya Sridhar,EQ-ETF,Unrated,2413.5,0.14,Open Ended,23-Oct-19,NIFTY BANK - TRI,55.91,56.46,47.54,6.82,11.66,6.23,12.29,13.51,15.82,21.13,-,-,12,503474,85.17,14.83,-,Financials,-,-,-,-0.01,0.18,0.37,1.00,15.69,Equity : ETFs,null
Aditya Birla SL Nifty Healthcare ETF,Priya Sridhar,EQ-ETF,Unrated,35.4,0.19,Open Ended,21-Oct-21,Nifty Healthcare Index - TRI,14.29,15.40,11.86,2.70,2.23,-1.02,17.71,32.85,19.42,-,-,-,20,116334,76.28,22.93,0.78,Healthcare,-,-,-,-,0.25,0.51,1.00,16.10,Equity : ETFs,null
Aditya Birla SL Nifty India Defence Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,391.1,1.06,Open Ended,30-Aug-24,Nifty India Defence - TRI,10.03,10.35,7.33,11.37,15.95,11.63,-,-,-,-,-,-,18,75144,64.93,13.26,22.28,Capital Goods,-,-,-,-,-,-,-,-,Equity : Index Funds,0.05% on or before 30D Nil after 30D
Aditya Birla SL Nifty IT ETF,Priya Sridhar,EQ-ETF,Unrated,29.7,0.19,Open Ended,29-Oct-21,NIFTY IT - TRI,37.88,48.24,33.71,-2.85,-15.55,-13.52,10.02,15.09,6.67,-,-,-,10,375912,83.28,16.68,-,Technology,-,-,-,-0.03,0.02,0.04,1.00,21.44,Equity : ETFs,null
Aditya Birla SL Nifty Midcap 150 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,315.3,1.01,Open Ended,05-Apr-21,Nifty Midcap 150 - TRI,21.68,24.82,19.54,3.85,1.68,-5.30,4.69,27.70,20.64,-,-,-,150,55281,8.77,87.56,3.62,Financials,-,-,-,-0.07,0.26,0.49,1.00,17.29,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Aditya Birla SL Nifty Next 50 ETF,Priya Sridhar,EQ-ETF,Unrated,128.6,0.09,Open Ended,18-Dec-18,NIFTY NEXT 50 - TRI,67.03,80.59,59.35,2.33,3.88,-7.80,0.06,28.02,15.65,22.42,-,-,50,134057,91.58,8.34,-,Financials,-,-,-,-,0.17,0.31,1.00,20.00,Equity : ETFs,null
Aditya Birla SL Nifty Next 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,199.2,0.88,Open Ended,18-Feb-22,NIFTY NEXT 50 - TRI,15.57,18.87,13.80,2.25,3.63,-8.50,-1.13,26.55,14.39,-,-,-,50,134058,91.62,8.34,-,Financials,-,-,-,-0.10,0.16,0.28,1.00,20.01,Equity : Index Funds,Nil
Aditya Birla SL Nifty PSE ETF,Priya Sridhar,EQ-ETF,Unrated,32.1,0.20,Open Ended,17-May-24,NIFTY PSE,9.70,11.73,8.20,2.30,6.71,-4.90,-,-,-,-,-,-,20,183703,83.1,16.79,-,Energy,-,-,-,-,-,-,-,-,Equity : ETFs,null
Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G),Bhupesh Bameta,DT-M&LD,Unrated,3844.6,0.51,Open Ended,28-Jan-22,Nifty SDL Apr 2027 Index,12.18,12.18,11.21,1.18,2.46,4.18,8.71,7.60,6.92,-,-,0,-,-,-,-,-,-,1.67,1.53,6.77,0.01,0.36,0.51,0.57,2.04,Debt : Medium to Long Duration,Nil
Aditya Birla SL Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund-Reg(G),Mohit Sharma,DT-M&LD,Unrated,9470.4,0.34,Open Ended,24-Sep-21,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,12.20,12.21,11.27,1.04,2.40,4.12,8.40,7.51,6.74,-,-,0,-,-,-,-,-,-,1.26,1.15,6.98,0.01,0.37,0.51,0.51,1.89,Debt : Medium to Long Duration,Nil
Aditya Birla SL Nifty SDL Sep 2025 Index Fund-Reg(G),Bhupesh Bameta,DT-MD,Unrated,42.9,0.34,Open Ended,28-Sep-22,Nifty SDL Sep 2025 Index,11.97,11.97,11.17,0.64,1.68,3.29,7.24,6.96,-,-,-,0,-,-,-,-,-,-,0.26,0.24,6.62,0.18,1.43,1.05,0.17,0.64,Debt : Medium Duration,Nil
Aditya Birla SL Nifty SDL Sep 2027 Index Fund-Reg(G),Harshil Suvarnkar,DT-MD,Unrated,36.3,0.50,Open Ended,10-Mar-23,Nifty SDL Sep 2027 Index,11.90,11.90,10.89,1.48,2.74,4.54,9.35,7.88,-,-,-,0,-,-,-,-,-,-,2.30,2.08,6.80,0.14,1.05,1.31,0.40,1.10,Debt : Medium Duration,Nil
Aditya Birla SL Nifty Smallcap 50 Index Fund-Reg(G),Priya Sridhar,EQ-INDX,Unrated,201.2,1.01,Open Ended,05-Apr-21,Nifty Smallcap 50 - TRI,18.89,22.62,16.93,2.71,0.27,-10.77,0.52,31.86,18.64,-,-,-,50,20831,-,11.75,88.42,Financials,-,-,-,-0.12,0.17,0.30,0.99,22.28,Equity : Index Funds,0.25% on or before 15D Nil after 15D
Aditya Birla SL Overnight Fund-Reg(G),Kaustubh Gupta,DT-ON,4,5253.2,0.16,Open Ended,01-Nov-18,CRISIL Liquid Overnight Index,1377.88,1377.88,1294.36,0.47,1.49,3.13,6.47,6.57,6.26,4.98,-,0,-,-,-,-,-,-,0.01,0.01,7.08,-0.01,2.80,0.89,0.92,0.21,Debt : Overnight,Nil
Aditya Birla SL Pharma & Healthcare Fund-Reg(G),Dhaval Shah,EQ-PHRM,Unrated,815.0,2.34,Open Ended,10-Jul-19,BSE Health Care - TRI,29.72,32.74,25.78,2.04,1.59,-3.07,14.46,32.17,18.37,19.30,-,23,28,62303,46.26,29.37,23.15,Healthcare,-,-,-,-0.13,0.25,0.50,0.94,15.54,Equity : Sectoral - Pharma,1% on or before 30D Nil after 30D
Aditya Birla SL PSU Equity Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,5342.2,1.77,Open Ended,30-Dec-19,BSE PSU - TRI,31.89,37.55,27.27,2.94,5.82,-4.61,-7.63,34.06,28.33,31.70,-,13,36,146095,66.46,20.06,11.15,Energy,-,-,-,-0.21,0.30,0.67,0.97,21.92,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Pure Value Fund(G),Kunal Sangoi,EQ-VAL,3,5791.1,1.90,Open Ended,27-Mar-08,NIFTY 500 - TRI,116.14,136.82,105.91,0.47,-0.41,-9.45,-0.68,23.22,17.52,25.85,12.30,53,76,65793,41.89,15.6,41.37,Financials,-,-,-,0.13,0.21,0.38,1.11,17.17,Equity : Value / Contra,1% on or before 90D Nil after 90D
Aditya Birla SL Quant Fund-Reg(G),Harish krishnan,EQ-THEM,Unrated,2367.1,1.99,Open Ended,28-Jun-24,NIFTY 200 - TRI,9.05,10.71,8.20,2.83,3.07,-6.49,-,-,-,-,-,-,42,154793,61,36.24,1.86,Financials,-,-,-,-,-,-,-,-,Equity : Thematic,0.50% on or before 90D Nil after 90D
Aditya Birla SL Regular Savings Fund(G),Mohit Sharma,HY-DT(CO),3,1377.2,1.92,Open Ended,22-May-04,CRISIL Hybrid 85+15 - Conservative Index,65.52,65.63,59.18,1.65,3.69,3.23,10.18,10.55,8.67,12.51,8.51,144,38,284486,18.41,1.91,2.17,Financials,8.07,4.79,7.44,-0.04,0.29,0.61,1.02,3.93,Hybrid : Debt Oriented (Conservative),1% on or before 90D Nil after 90D
Aditya Birla SL Retirement Fund-30-Reg(G),Jonas Bhutta,HY-SOL,3,370.6,2.41,Open Ended,11-Mar-19,NIFTY 500 - TRI,18.35,20.52,16.54,2.45,2.87,-5.65,5.48,18.59,13.25,15.19,-,90,74,84218,47.64,25.24,25.34,Financials,-,-,-,-0.11,0.16,0.31,0.92,13.84,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-40-Reg(G),Chanchal Khandelwal,HY-SOL,Unrated,109.5,2.38,Open Ended,11-Mar-19,CRISIL Hybrid 35+65 - Aggressive Index,18.06,18.81,15.99,2.37,3.66,0.40,10.09,18.31,12.87,13.79,-,30,47,163611,50.31,13.36,15.96,Financials,9.02,4.50,6.73,-0.05,0.20,0.39,1.07,10.90,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50 Plus-Debt Plan-Reg(G),Harshil Suvarnkar,HY-SOL,Unrated,17.3,2.07,Open Ended,11-Mar-19,CRISIL Short Term Bond Index,13.13,13.13,12.23,1.17,2.29,3.64,7.35,6.04,5.26,4.22,-,0,-,-,-,-,-,-,6.26,3.29,6.68,-0.20,0.20,0.31,1.26,1.62,Hybrid : Solution Oriented,Nil
Aditya Birla SL Retirement Fund-50-Reg(G),Mohit Sharma,HY-SOL,Unrated,25.7,1.93,Open Ended,11-Mar-19,CRISIL Short Term Debt Hybrid 75+25 Index,14.25,14.29,13.14,1.54,2.82,1.99,7.82,9.82,7.90,5.63,-,12,41,214857,18.91,2.74,3.8,Financials,3.48,2.66,6.67,-0.09,0.23,0.46,0.97,4.11,Hybrid : Solution Oriented,Nil
Aditya Birla SL Savings Fund-Reg(G),Kaustubh Gupta,DT-USD,5,13293.7,0.55,Open Ended,16-Apr-03,NIFTY Ultra Short Duration Debt Index,542.01,542.01,502.17,0.90,2.21,4.07,7.96,7.70,7.04,6.33,7.17,0,-,-,-,-,-,-,0.66,0.57,7.75,0.13,1.59,0.99,0.55,0.53,Debt : Ultra Short Duration,Nil
Aditya Birla SL Short Term Fund(G),Kaustubh Gupta,DT-SD,4,8068.0,0.94,Open Ended,09-May-03,Nifty Short Duration Debt Index,47.20,47.20,43.20,1.42,2.98,4.81,9.37,7.96,7.21,7.32,7.44,0,-,-,-,-,-,-,3.67,2.77,7.49,0.04,0.77,1.07,1.10,1.13,Debt : Short Duration,Nil
Aditya Birla SL Silver ETF,Sachin Wankhede,GOLD-ETF,Unrated,610.2,0.35,Open Ended,31-Jan-22,Silver,95.16,101.65,80.01,-6.56,1.83,-4.41,16.69,10.65,12.75,-,-,-,-,-,-,-,-,-,-,-,-,0.61,0.12,0.24,0.28,22.28,Gold : ETFs,null
Aditya Birla SL Silver ETF FOF-Reg(G),Priya Sridhar,FOF-DOM,Unrated,207.7,0.67,Open Ended,03-Feb-22,Silver,14.81,15.78,12.65,-5.86,2.78,-3.72,16.25,11.35,12.83,-,-,-,-,-,-,-,-,-,-,-,-,0.30,0.12,0.25,1.31,19.70,FoFs : Domestic,0.50% on or before 30D Nil after 30D
Aditya Birla SL Small Cap Fund(G),Abhinav Khandelwal,EQ-SML,1,4416.3,1.94,Open Ended,31-May-07,BSE 250 Small Cap - TRI,77.37,94.03,69.18,2.27,-0.01,-12.32,-1.59,21.24,14.79,27.77,12.63,39,90,14772,3.56,14.06,78.52,Financials,-,-,-,-0.15,0.16,0.28,0.88,18.24,Equity : Small Cap,1% on or before 90D Nil after 90D
Aditya Birla SL Special Opp Fund-Reg(G),Dhaval Gala,EQ-THEM,Unrated,729.8,2.42,Open Ended,23-Oct-20,BSE 500 - TRI,22.96,25.56,20.52,3.14,2.09,-3.64,7.88,24.73,15.54,-,-,28,60,109272,52.63,18.67,24.92,Financials,-,-,-,-0.02,0.19,0.35,1.00,14.95,Equity : Thematic,1% on or before 30D Nil after 30D
Aditya Birla SL Transportation and Logistics Fund-Reg(G),Dhaval Gala,EQ-AUTO,Unrated,1343.8,2.17,Open Ended,17-Nov-23,Nifty Transportation & Logistics - TRI,12.49,16.02,11.41,2.47,-1.43,-10.44,-4.53,-,-,-,-,-,33,88485,63.82,13.49,21.3,Automobile and Ancillaries,-,-,-,-0.29,0.16,0.27,0.99,18.08,Equity : Sectoral - Auto,1% on or before 365D Nil after 365D
Aditya Birla SL US Treasury 1-3 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,87.2,0.23,Open Ended,31-Oct-23,Bloomberg US Treasury 1-3 Year Index,11.01,11.25,10.22,-0.24,-0.44,3.40,7.83,-,-,-,-,0,-,-,-,-,-,-,1.95,1.86,3.95,0.56,0.36,0.80,-0.60,2.70,Debt : ETFs,0.25% on or before 30D Nil after 30D
Aditya Birla SL US Treasury 3-10 year Bond ETFs FoF-Reg(G),Vighnesh Gupta,DT-ETF,Unrated,182.2,0.20,Open Ended,31-Oct-23,Bloomberg US Treasury 3-10 Year Index,11.27,11.48,10.32,0.28,1.19,4.02,9.82,-,-,-,-,0,-,-,-,-,-,-,5.69,4.99,4.01,0.31,0.24,0.54,0.08,5.02,Debt : ETFs,0.25% on or before 30D Nil after 30D
Angel One Nifty 1D Rate Liquid ETF(G),Mehul Dama,DT-ETF,Unrated,26.2,0.27,Open Ended,25-Mar-25,Nifty 1D Rate Index,1006.12,1006.12,1000.00,0.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Debt : ETFs,null
Angel One Nifty Total Market ETF,Mehul Dama,EQ-ETF,Unrated,16.7,0.28,Open Ended,28-Feb-25,Nifty Total Market - TRI,11.05,11.18,10.00,3.16,-,-,-,-,-,-,-,-,749,191636,69.88,17.02,12.98,Financials,-,-,-,-,-,-,-,-,Equity : ETFs,null
Angel One Nifty Total Market Index Fund-Reg(G),Mehul Dama,EQ-INDX,Unrated,31.1,1.03,Open Ended,28-Feb-25,Nifty Total Market - TRI,11.03,11.17,10.00,3.09,-,-,-,-,-,-,-,-,749,191681,69.74,16.95,12.97,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,Nil
Axis Aggressive Hybrid Fund-Reg(G),Jayesh Sundar,HY-EQ,3,1521.0,2.16,Open Ended,09-Aug-18,CRISIL Hybrid 35+65 - Aggressive Index,19.85,21.09,17.62,2.43,3.34,-1.00,10.66,15.28,10.00,15.28,-,0,75,234985,54.56,6.26,11.22,Financials,13.16,5.80,7.78,-0.30,0.12,0.23,1.12,11.28,Hybrid : Equity Oriented,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis Arbitrage Fund-Reg(G),Karthik Kumar,HY-ARB,3,5746.0,0.97,Open Ended,14-Aug-14,Nifty 50 Arbitrage,18.53,18.53,17.27,0.69,1.90,3.61,7.22,7.39,6.56,5.37,5.76,0,144,210479,47.49,14.89,3.66,Financials,0.75,0.73,7.16,0.04,1.18,0.95,0.64,0.58,Hybrid : Arbitrage,0.25% on or before 15D Nil after 15D
Axis Balanced Advantage Fund-Reg(G),Jayesh Sundar,HY-DYN,2,2807.8,1.98,Open Ended,01-Aug-17,NIFTY 50 Hybrid Composite Debt 50:50 Index,20.59,20.97,17.92,2.29,3.31,1.63,13.01,19.22,14.20,13.90,-,0,96,356297,58.46,5.21,3.6,Financials,13.67,5.73,7.25,0.33,0.31,0.70,0.61,8.26,Hybrid : Dynamic Asset Allocation,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis Banking & PSU Debt Fund-Reg(G),Aditya Pagaria,DT-B&PSU,3,12961.5,0.63,Open Ended,08-Jun-12,NIFTY Banking and PSU Debt Index,2614.23,2614.23,2399.58,1.38,2.99,4.78,9.01,7.64,6.81,6.38,7.35,0,-,-,-,-,-,-,3.70,2.81,7.19,0.11,0.68,0.95,0.28,1.11,Debt : Banking & PSU,Nil
Axis Bluechip Fund-Reg(G),Shreyash Devalkar,EQ-LC,3,32349.4,1.58,Open Ended,05-Jan-10,BSE 100 - TRI,58.92,64.04,53.54,2.87,4.05,0.72,7.00,17.00,11.13,15.87,12.12,71,51,454318,86.42,0.42,-,Financials,-,-,-,-0.26,0.12,0.22,0.95,13.42,Equity : Large Cap,Nil for 10% of investments and 1% for remaining investments on or before 12M Nil after 12M
Axis BSE Sensex ETF,Karthik Kumar,EQ-ETF,Unrated,125.2,0.04,Open Ended,24-Mar-23,BSE SENSEX - TRI,82.09,87.24,73.02,3.67,4.67,0.59,8.93,15.79,-,-,-,-,30,670458,99.43,0.47,-,Financials,-,-,-,-0.01,0.29,0.62,1.00,11.19,Equity : ETFs,null
Axis BSE Sensex Index Fund-Reg(G),Karthik Kumar,EQ-INDX,Unrated,46.7,0.70,Open Ended,27-Feb-24,BSE SENSEX - TRI,11.05,11.80,9.89,3.61,4.50,0.21,8.17,-,-,-,-,-,30,670697,99.44,0.48,-,Financials,-,-,-,-0.07,0.07,0.12,1.00,11.49,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Axis Business Cycles Fund-Reg(G),Ashish Naik,EQ-THEM,Unrated,2295.4,2.02,Open Ended,22-Feb-23,NIFTY 500 - TRI,15.40,17.26,13.87,2.53,1.45,-3.99,4.55,21.54,-,-,-,89,89,153240,65.19,11.32,20.13,Financials,-,-,-,0.05,0.37,0.67,1.00,13.47,Equity : Thematic,Nil for 10% of investment and 1% for remaining investments on or before 12M Nil after 12M
Axis Childrens Fund-Compulsory Lock in-Reg(G),Jayesh Sundar,HY-SOL,4,865.0,2.31,Open Ended,08-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.17,26.64,22.23,2.32,2.91,-0.75,11.38,13.76,8.71,14.82,-,0,72,226532,49.36,8.17,9.68,Financials,17.25,7.60,7.02,-0.24,0.09,0.17,0.80,11.11,Hybrid : Solution Oriented,NIL
Axis Childrens Fund-No Lock in-Reg(G),Jayesh Sundar,HY-SOL,3,865.0,2.31,Open Ended,08-Dec-15,NIFTY 50 Hybrid Composite Debt 65:35 Index,25.17,26.64,22.22,2.32,2.91,-0.75,11.38,13.75,8.71,14.82,-,0,72,226532,49.36,8.17,9.68,Financials,17.25,7.60,7.02,-0.24,0.09,0.17,0.80,11.11,Hybrid : Solution Oriented,3% on or before 1Y 2% after 1Y but on or before 2Y 1% after 2Y but on or before 3Y Nil after 3Y
Axis Conservative Hybrid Fund-Reg(G),Devang Shah,HY-DT(CO),3,272.2,2.18,Open Ended,16-Jul-10,NIFTY 50 Hybrid Composite Debt 15:85 Index,29.82,29.83,27.09,1.90,3.57,3.76,10.05,9.25,7.28,9.12,7.01,0,32,377534,19.24,1.33,1.17,Financials,13.40,6.53,7.50,-0.14,0.18,0.36,0.95,4.19,Hybrid : Debt Oriented (Conservative),Nil upto 10% of investments and 1% for remaining investments on or before 1M Nil after 1M
Axis Consumption Fund-Reg(G),Shreyash Devalkar,EQ-CONS,Unrated,3961.6,1.85,Open Ended,12-Sep-24,Nifty India Consumption - TRI,9.06,10.34,8.31,4.12,2.13,-4.11,-,-,-,-,-,-,71,170481,70.33,9.6,9.66,FMCG,-,-,-,-,-,-,-,-,Equity : Thematic - Consumption,Nil for 10% of investments and 1% for remaining on or before 12M Nil after 12M
Axis Corp Bond Fund-Reg(G),Devang Shah,DT-CORP,4,6202.8,0.91,Open Ended,13-Jul-17,NIFTY Corporate Bond Index,16.95,16.95,15.45,1.63,3.31,5.15,9.81,8.14,7.24,7.09,-,0,-,-,-,-,-,-,4.95,3.67,7.21,0.11,0.66,1.04,0.37,1.30,Debt : Corporate Bond,Nil
Axis Credit Risk Fund-Reg(G),Devang Shah,DT-CR,4,360.2,1.58,Open Ended,15-Jul-14,CRISIL Credit Risk Debt Index,21.17,21.17,19.42,1.31,2.76,4.52,9.06,7.92,7.11,7.15,6.88,0,-,-,-,-,-,-,3.09,2.16,8.41,0.13,0.76,0.95,0.30,1.11,Debt : Credit Risk,Nil for 10% of investments and 1% for remaining investment on or before 12M Nil after 12M
Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund-Reg(G),Hardik Shah,DT-M&LD,Unrated,75.8,0.37,Open Ended,24-Jan-23,CRISIL IBX 50:50 Gilt Plus SDL Index - June 2028,11.98,11.98,10.89,1.73,3.16,5.02,10.04,8.24,-,-,-,0,-,-,-,-,-,-,2.92,2.50,6.76,0.08,0.91,1.38,0.70,1.32,Debt : Medium to Long Duration,Nil
Axis CRISIL IBX 50:50 Gilt Plus SDL Sep 2027 Index Fund-Reg(G),Aditya Pagaria,DT-M&LD,Unrated,32.8,0.40,Open Ended,27-Feb-23,CRISIL IBX 50:50 Gilt Plus SDL Index - September 2027,11.92,11.92,10.91,1.48,2.79,4.62,9.30,7.84,-,-,-,0,-,-,-,-,-,-,2.18,1.96,6.70,0.12,1.08,1.31,0.54,1.08,Debt : Medium to Long Duration,Nil
Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund-Reg(G),Devang Shah,DT-MD,Unrated,457.3,0.29,Open Ended,28-Jan-22,CRISIL IBX 70:30 CPSE Plus SDL - April 2025,11.95,11.95,11.16,0.56,1.66,3.40,7.19,6.98,6.13,-,-,0,-,-,-,-,-,-,0.04,0.04,6.86,0.03,0.36,0.49,0.34,1.56,Debt : Medium Duration,Nil
Axis CRISIL IBX SDL June 2034 Debt Index Fund-Reg(G),Hardik Shah,DT-LD,Unrated,16.9,0.45,Open Ended,21-Mar-24,CRISIL IBX SDL Index - June 2034,11.28,11.29,10.05,2.46,4.48,6.21,12.49,-,-,-,-,0,-,-,-,-,-,-,8.63,6.06,7.06,0.04,0.82,1.73,0.89,2.42,Debt : Long Duration,Nil
